"name","nickName","division",
"Arizona Cardinals","Cardinals","NFC West",
"Atlanta Falcons","Falcons","NFC South",
"Baltimore Ravens","Ravens","AFC North",
"Buffalo Bills","Bills","AFC East",
"Carolina Panthers","Panthers","NFC South",
"Chicago Bears","Bears","NFC North",
"Cincinnati Bengals","Bengals","AFC North",
"Cleveland Browns","Browns","AFC North",
"Dallas Cowboys","Cowboys","NFC East",
"Denver Broncos","Broncos","AFC West",
"Detroit Lions","Lions","NFC North",
"Green Bay Packers","Packers","NFC North",
"Houston Texans","Texans","AFC South",
"Indianapolis Colts","Colts","AFC South",
"Jacksonville Jaguars","Jaguars","AFC South",
"Kansas City Chiefs","Chiefs","AFC West",
"Miami Dolphins","Dolphins","AFC East",
"Minnesota Vikings","Vikings","NFC North",
"New England Patriots","Patriots","AFC East",
"New Orleans Saints","Saints","NFC South",
"New York Giants","Giants","NFC East",
"New York Jets","Jets","AFC East",
"Oakland Raiders","Raiders","AFC West",
"Philadelphia Eagles","Eagles","NFC East",
"Pittsburgh Steelers","Steelers","AFC North",
"San Diego Chargers","Chargers","AFC West",
"San Francisco 49ers","49ers","NFC West",
"Seattle Seahawks","Seahawks","NFC West",
"St. Louis Rams","Rams","NFC West",
"Tampa Bay Buccaneers","Buccaneers","NFC South",
"Tennessee Titans","Titans","AFC South",
"Washington Redskins","Redskins","NFC East",